2020-05-23 21:56:02,910 INFO  BatteryAmbassador - An electric vehicle has been registered. Vehicle id: veh_4
2020-05-23 21:56:02,917 INFO  VerySimpleBatteryModel - Randomizing State of Charge between 0.3 and 0.7
2020-05-23 21:56:02,917 INFO  BatterySim - [ElectricVehicleAdded] name=veh_4
2020-05-23 21:56:03,138 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5531.74 Wh, state of charge=0.33, time=15000000000 ns, movementPower=4.17 Wh, distance=35.73 m
2020-05-23 21:56:03,272 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5527.54 Wh, state of charge=0.33, time=16000000000 ns, movementPower=12.01 Wh, distance=35.86 m
2020-05-23 21:56:03,285 INFO  ElectricVehicle - [Recuperating] name=veh_4, capacity=5515.50 Wh, state of charge=0.33, time=17000000000 ns, recuperationPower=0.00 Wh, distance=35.04 m
2020-05-23 21:56:03,296 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5518.06 Wh, state of charge=0.33, time=18000000000 ns, movementPower=20.25 Wh, distance=35.73 m
2020-05-23 21:56:03,305 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5497.78 Wh, state of charge=0.33, time=19000000000 ns, movementPower=8.49 Wh, distance=35.63 m
2020-05-23 21:56:03,347 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5489.26 Wh, state of charge=0.32, time=20000000000 ns, movementPower=9.27 Wh, distance=35.59 m
2020-05-23 21:56:03,371 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5479.96 Wh, state of charge=0.32, time=21000000000 ns, movementPower=16.22 Wh, distance=35.97 m
2020-05-23 21:56:03,381 INFO  ElectricVehicle - [Recuperating] name=veh_4, capacity=5463.71 Wh, state of charge=0.32, time=22000000000 ns, recuperationPower=0.01 Wh, distance=35.00 m
2020-05-23 21:56:03,392 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5468.99 Wh, state of charge=0.32, time=23000000000 ns, movementPower=14.04 Wh, distance=35.29 m
2020-05-23 21:56:03,400 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5454.92 Wh, state of charge=0.32, time=24000000000 ns, movementPower=16.77 Wh, distance=35.74 m
2020-05-23 21:56:03,408 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5438.12 Wh, state of charge=0.32, time=25000000000 ns, movementPower=13.94 Wh, distance=35.99 m
2020-05-23 21:56:03,443 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5424.14 Wh, state of charge=0.32, time=26000000000 ns, movementPower=3.40 Wh, distance=35.56 m
2020-05-23 21:56:03,472 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5420.71 Wh, state of charge=0.32, time=27000000000 ns, movementPower=8.71 Wh, distance=35.48 m
2020-05-23 21:56:03,490 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5411.97 Wh, state of charge=0.32, time=28000000000 ns, movementPower=0.34 Wh, distance=34.87 m
2020-05-23 21:56:03,502 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5411.60 Wh, state of charge=0.32, time=29000000000 ns, movementPower=21.67 Wh, distance=35.66 m
2020-05-23 21:56:03,509 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5389.90 Wh, state of charge=0.32, time=30000000000 ns, movementPower=0.94 Wh, distance=35.08 m
2020-05-23 21:56:03,561 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5388.92 Wh, state of charge=0.32, time=31000000000 ns, movementPower=17.42 Wh, distance=35.58 m
2020-05-23 21:56:03,575 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5371.47 Wh, state of charge=0.32, time=32000000000 ns, movementPower=13.51 Wh, distance=35.81 m
2020-05-23 21:56:03,593 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5357.93 Wh, state of charge=0.32, time=33000000000 ns, movementPower=6.68 Wh, distance=35.59 m
2020-05-23 21:56:03,605 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5351.22 Wh, state of charge=0.32, time=34000000000 ns, movementPower=6.00 Wh, distance=35.34 m
2020-05-23 21:56:03,614 INFO  ElectricVehicle - [Discharging] name=veh_4, capacity=5345.19 Wh, state of charge=0.32, time=35000000000 ns, movementPower=15.16 Wh, distance=35.69 m
2020-05-23 21:56:03,616 INFO  BatteryAmbassador - An electric vehicle has been registered. Vehicle id: veh_15
2020-05-23 21:56:03,635 INFO  VerySimpleBatteryModel - Randomizing State of Charge between 0.3 and 0.7
2020-05-23 21:56:03,635 INFO  BatterySim - [ElectricVehicleAdded] name=veh_15
